#    t(1)      varx(2)      vary(3)      varz(3)
0 0 0 0
0.000500023 nan 7.21284e+10 2.39753e+26
0.000999987 nan nan nan
0.00150001 nan nan nan
0.00199997 nan nan nan
0.0025 nan nan nan
0.00300002 nan nan nan
0.00349998 nan nan nan
0.00400001 nan nan nan
0.00449997 nan nan nan
0.005 nan nan nan
0.00550002 nan nan nan
0.00599998 nan nan nan
0.00650001 nan nan nan
0.00700003 nan nan nan
0.00749999 nan nan nan
0.00800002 nan nan nan
0.00849998 nan nan nan
0.009 nan nan nan
0.00950003 nan nan nan
0.00999999 nan nan nan
0.0105 nan nan nan
0.011 nan nan nan
0.0115 nan nan nan
0.012 nan nan nan
0.0125 nan nan nan
0.013 nan nan nan
0.0135 nan nan nan
0.014 nan nan nan
0.0145 nan nan nan
0.015 nan nan nan
0.0155 nan nan nan
0.016 nan nan nan
0.0165 nan nan nan
0.017 nan nan nan
0.0175 nan nan nan
0.018 nan nan nan
0.0185 nan nan nan
0.019 nan nan nan
0.0195 nan nan nan
0.02 nan nan nan
0.0205 nan nan nan
0.021 nan nan nan
0.0215 nan nan nan
0.022 nan nan nan
0.0225 nan nan nan
0.023 nan nan nan
0.0235 nan nan nan
0.024 nan nan nan
0.0245 nan nan nan
0.025 nan nan nan
0.0255 nan nan nan
0.026 nan nan nan
0.0265 nan nan nan
0.027 nan nan nan
0.0275 nan nan nan
0.028 nan nan nan
0.0285 nan nan nan
0.029 nan nan nan
0.0295 nan nan nan
0.03 nan nan nan
0.0305 nan nan nan
0.031 nan nan nan
0.0315 nan nan nan
0.032 nan nan nan
0.0325 nan nan nan
0.033 nan nan nan
0.0335 nan nan nan
0.034 nan nan nan
0.0345 nan nan nan
0.035 nan nan nan
0.0355 nan nan nan
0.036 nan nan nan
0.0365 nan nan nan
0.037 nan nan nan
0.0375 nan nan nan
0.038 nan nan nan
0.0385 nan nan nan
0.039 nan nan nan
0.0395 nan nan nan
0.04 nan nan nan
0.0405 nan nan nan
0.041 nan nan nan
0.0415 nan nan nan
0.042 nan nan nan
0.0425 nan nan nan
0.043 nan nan nan
0.0435 nan nan nan
0.044 nan nan nan
0.0445 nan nan nan
0.045 nan nan nan
0.0455 nan nan nan
0.046 nan nan nan
0.0465 nan nan nan
0.047 nan nan nan
0.0475 nan nan nan
0.048 nan nan nan
0.0485 nan nan nan
0.049 nan nan nan
0.0495 nan nan nan
0.05 nan nan nan
0.0505 nan nan nan
0.051 nan nan nan
0.0515 nan nan nan
0.052 nan nan nan
0.0525 nan nan nan
0.053 nan nan nan
0.0535 nan nan nan
0.054 nan nan nan
0.0545 nan nan nan
0.055 nan nan nan
0.0555 nan nan nan
0.056 nan nan nan
0.0565 nan nan nan
0.057 nan nan nan
0.0575 nan nan nan
0.058 nan nan nan
0.0585 nan nan nan
0.059 nan nan nan
0.0595 nan nan nan
0.06 nan nan nan
0.0605 nan nan nan
0.061 nan nan nan
0.0615 nan nan nan
0.062 nan nan nan
0.0625 nan nan nan
0.063 nan nan nan
0.0635 nan nan nan
0.064 nan nan nan
0.0645 nan nan nan
0.065 nan nan nan
0.0655 nan nan nan
0.066 nan nan nan
0.0665 nan nan nan
0.067 nan nan nan
0.0675 nan nan nan
0.068 nan nan nan
0.0685 nan nan nan
0.069 nan nan nan
0.0695 nan nan nan
0.07 nan nan nan
0.0705 nan nan nan
0.071 nan nan nan
0.0715 nan nan nan
0.072 nan nan nan
0.0725 nan nan nan
0.073 nan nan nan
0.0735 nan nan nan
0.074 nan nan nan
0.0745 nan nan nan
0.075 nan nan nan
0.0755 nan nan nan
0.076 nan nan nan
0.0765 nan nan nan
0.077 nan nan nan
0.0775 nan nan nan
0.078 nan nan nan
0.0785 nan nan nan
0.079 nan nan nan
0.0795 nan nan nan
0.08 nan nan nan
0.0805 nan nan nan
0.081 nan nan nan
0.0815 nan nan nan
0.082 nan nan nan
0.0825 nan nan nan
0.083 nan nan nan
0.0835 nan nan nan
0.084 nan nan nan
0.0845 nan nan nan
0.085 nan nan nan
0.0855 nan nan nan
0.086 nan nan nan
0.0865 nan nan nan
0.087 nan nan nan
0.0875 nan nan nan
0.088 nan nan nan
0.0885 nan nan nan
0.089 nan nan nan
0.0895 nan nan nan
0.09 nan nan nan
0.0905 nan nan nan
0.091 nan nan nan
0.0915 nan nan nan
0.092 nan nan nan
0.0925 nan nan nan
0.093 nan nan nan
0.0935 nan nan nan
0.094 nan nan nan
0.0945 nan nan nan
0.095 nan nan nan
0.0955 nan nan nan
0.096 nan nan nan
0.0965 nan nan nan
0.097 nan nan nan
0.0975 nan nan nan
0.098 nan nan nan
0.0985 nan nan nan
0.099 nan nan nan
0.0995 nan nan nan
0.1 nan nan nan
0.1005 nan nan nan
0.101 nan nan nan
0.1015 nan nan nan
0.102 nan nan nan
0.1025 nan nan nan
0.103 nan nan nan
0.1035 nan nan nan
0.104 nan nan nan
0.1045 nan nan nan
0.105 nan nan nan
0.1055 nan nan nan
0.106 nan nan nan
0.1065 nan nan nan
0.107 nan nan nan
0.1075 nan nan nan
0.108 nan nan nan
0.1085 nan nan nan
0.109 nan nan nan
0.1095 nan nan nan
0.11 nan nan nan
0.1105 nan nan nan
0.111 nan nan nan
0.1115 nan nan nan
0.112 nan nan nan
0.1125 nan nan nan
0.113 nan nan nan
0.1135 nan nan nan
0.114 nan nan nan
0.1145 nan nan nan
0.115 nan nan nan
0.1155 nan nan nan
0.116 nan nan nan
0.1165 nan nan nan
0.117 nan nan nan
0.1175 nan nan nan
0.118 nan nan nan
0.1185 nan nan nan
0.119 nan nan nan
0.1195 nan nan nan
0.12 nan nan nan
0.1205 nan nan nan
0.121 nan nan nan
0.1215 nan nan nan
0.122 nan nan nan
0.1225 nan nan nan
0.123 nan nan nan
0.1235 nan nan nan
0.124 nan nan nan
0.1245 nan nan nan
0.125 nan nan nan
0.1255 nan nan nan
0.126 nan nan nan
0.1265 nan nan nan
0.127 nan nan nan
0.1275 nan nan nan
0.128 nan nan nan
0.1285 nan nan nan
0.129 nan nan nan
0.1295 nan nan nan
0.13 nan nan nan
0.1305 nan nan nan
0.131 nan nan nan
0.1315 nan nan nan
0.132 nan nan nan
0.1325 nan nan nan
0.133 nan nan nan
0.1335 nan nan nan
0.134 nan nan nan
0.1345 nan nan nan
0.135 nan nan nan
0.1355 nan nan nan
0.136 nan nan nan
0.1365 nan nan nan
0.137 nan nan nan
0.1375 nan nan nan
0.138 nan nan nan
0.1385 nan nan nan
0.139 nan nan nan
0.1395 nan nan nan
0.14 nan nan nan
0.1405 nan nan nan
0.141 nan nan nan
0.1415 nan nan nan
0.142 nan nan nan
0.1425 nan nan nan
0.143 nan nan nan
0.1435 nan nan nan
0.144 nan nan nan
0.1445 nan nan nan
0.145 nan nan nan
0.1455 nan nan nan
0.146 nan nan nan
0.1465 nan nan nan
0.147 nan nan nan
0.1475 nan nan nan
0.148 nan nan nan
0.1485 nan nan nan
0.149 nan nan nan
0.1495 nan nan nan
0.15 nan nan nan
0.1505 nan nan nan
0.151 nan nan nan
0.1515 nan nan nan
0.152 nan nan nan
0.1525 nan nan nan
0.153 nan nan nan
0.1535 nan nan nan
0.154 nan nan nan
0.1545 nan nan nan
0.155 nan nan nan
0.1555 nan nan nan
0.156 nan nan nan
0.1565 nan nan nan
0.157 nan nan nan
0.1575 nan nan nan
0.158 nan nan nan
0.1585 nan nan nan
0.159 nan nan nan
0.1595 nan nan nan
0.16 nan nan nan
0.1605 nan nan nan
0.161 nan nan nan
0.1615 nan nan nan
0.162 nan nan nan
0.1625 nan nan nan
0.163 nan nan nan
0.1635 nan nan nan
0.164 nan nan nan
0.1645 nan nan nan
0.165 nan nan nan
0.1655 nan nan nan
0.166 nan nan nan
0.1665 nan nan nan
0.167 nan nan nan
0.1675 nan nan nan
0.168 nan nan nan
0.1685 nan nan nan
0.169 nan nan nan
0.1695 nan nan nan
0.17 nan nan nan
0.1705 nan nan nan
0.171 nan nan nan
0.1715 nan nan nan
0.172 nan nan nan
0.1725 nan nan nan
0.173 nan nan nan
0.1735 nan nan nan
0.174 nan nan nan
0.1745 nan nan nan
0.175 nan nan nan
0.1755 nan nan nan
0.176 nan nan nan
0.1765 nan nan nan
0.177 nan nan nan
0.1775 nan nan nan
0.178 nan nan nan
0.1785 nan nan nan
0.179 nan nan nan
0.1795 nan nan nan
0.18 nan nan nan
0.1805 nan nan nan
0.181 nan nan nan
0.1815 nan nan nan
0.182 nan nan nan
0.1825 nan nan nan
0.183 nan nan nan
0.1835 nan nan nan
0.184 nan nan nan
0.1845 nan nan nan
0.185 nan nan nan
0.1855 nan nan nan
0.186 nan nan nan
0.1865 nan nan nan
0.187 nan nan nan
0.1875 nan nan nan
0.188 nan nan nan
0.1885 nan nan nan
0.189 nan nan nan
0.1895 nan nan nan
0.19 nan nan nan
0.1905 nan nan nan
0.191 nan nan nan
0.1915 nan nan nan
0.192 nan nan nan
0.1925 nan nan nan
0.193 nan nan nan
0.1935 nan nan nan
0.194 nan nan nan
0.1945 nan nan nan
0.195 nan nan nan
0.1955 nan nan nan
0.196 nan nan nan
0.1965 nan nan nan
0.197 nan nan nan
0.1975 nan nan nan
0.198 nan nan nan
0.1985 nan nan nan
0.199 nan nan nan
0.1995 nan nan nan
0.2 nan nan nan
0.2005 nan nan nan
0.201 nan nan nan
0.2015 nan nan nan
0.202 nan nan nan
0.2025 nan nan nan
0.203 nan nan nan
0.2035 nan nan nan
0.204 nan nan nan
0.2045 nan nan nan
0.205 nan nan nan
0.2055 nan nan nan
0.206 nan nan nan
0.2065 nan nan nan
0.207 nan nan nan
0.2075 nan nan nan
0.208 nan nan nan
0.2085 nan nan nan
0.209 nan nan nan
0.2095 nan nan nan
0.21 nan nan nan
0.2105 nan nan nan
0.211 nan nan nan
0.2115 nan nan nan
0.212 nan nan nan
0.2125 nan nan nan
0.213 nan nan nan
0.2135 nan nan nan
0.214 nan nan nan
0.2145 nan nan nan
0.215 nan nan nan
0.2155 nan nan nan
0.216 nan nan nan
0.2165 nan nan nan
0.217 nan nan nan
0.2175 nan nan nan
0.218 nan nan nan
0.2185 nan nan nan
0.219 nan nan nan
0.2195 nan nan nan
0.22 nan nan nan
0.2205 nan nan nan
0.221 nan nan nan
0.2215 nan nan nan
0.222 nan nan nan
0.2225 nan nan nan
0.223 nan nan nan
0.2235 nan nan nan
0.224 nan nan nan
0.2245 nan nan nan
0.225 nan nan nan
0.2255 nan nan nan
0.226 nan nan nan
0.2265 nan nan nan
0.227 nan nan nan
0.2275 nan nan nan
0.228 nan nan nan
0.2285 nan nan nan
0.229 nan nan nan
0.2295 nan nan nan
0.23 nan nan nan
0.2305 nan nan nan
0.231 nan nan nan
0.2315 nan nan nan
0.232 nan nan nan
0.2325 nan nan nan
0.233 nan nan nan
0.2335 nan nan nan
0.234 nan nan nan
0.2345 nan nan nan
0.235 nan nan nan
0.2355 nan nan nan
0.236 nan nan nan
0.2365 nan nan nan
0.237 nan nan nan
